Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2024-05-24,5304.72,5443.5,5316.928122739726,126.57187726027405
2024-05-23,5267.84,5406.5,5280.396221369863,126.10377863013673
2024-05-22,5307.01,5449.75,5320.095778082192,129.65422191780817
2024-05-21,5321.41,5467.0,5334.968661095891,132.03133890410936
2024-05-20,5308.13,5452.5,5322.0911090410955,130.40889095890452
2024-05-17,5303.27,5447.0,5318.525982191782,128.47401780821838
2024-05-16,5297.1,5439.75,5312.773610958904,126.9763890410959
2024-05-15,5308.15,5452.0,5324.292593150685,127.7074068493148
2024-05-14,5246.68,5387.0,5263.066890958904,123.93310904109603
2024-05-13,5221.42,5362.25,5238.157154520548,124.09284547945208
2024-05-10,5222.68,5362.5,5240.7089775342465,121.79102246575349
2024-05-09,5214.08,5353.5,5232.507844383562,120.99215561643814
2024-05-08,5187.67,5327.5,5206.430888767123,121.06911123287682
2024-05-07,5187.7,5328.5,5206.887383561644,121.61261643835587
2024-05-06,5180.74,5320.75,5200.327455342465,120.42254465753467
2024-05-03,5127.79,5267.25,5148.441647397261,118.80835260273943
2024-05-02,5064.2,5202.75,5085.0117808219175,117.73821917808255
2024-05-01,5018.39,5158.0,5039.425990958905,118.57400904109545
2024-04-30,5035.69,5180.25,5057.21240109589,123.03759890411038
2024-04-29,5116.17,5260.25,5138.456877534247,121.79312246575319
2024-04-26,5099.96,5245.5,5123.43378849315,122.06621150684987
2024-04-25,5048.42,5195.5,5072.071501917809,123.42849808219125
2024-04-24,5071.63,5220.5,5095.807085479451,124.69291452054858
2024-04-23,5070.55,5219.25,5095.138694520549,124.1113054794514
2024-04-22,5010.6,5159.0,5035.309808219178,123.6901917808218
2024-04-19,4967.23,5114.0,4992.950725205479,121.0492747945209
2024-04-18,5011.12,5161.0,5037.479864109589,123.52013589041144
2024-04-17,5022.21,5175.0,5049.040984931507,125.95901506849259
2024-04-16,5051.41,5205.0,5078.812169315068,126.18783068493212
2024-04-15,5061.82,5216.25,5089.69468,126.55532000000039
2024-04-12,5123.41,5281.5,5152.887153424657,128.6128465753427
2024-04-11,5199.06,5358.75,5229.39972,129.35027999999966
2024-04-10,5160.64,5324.25,5191.179677808219,133.0703221917811
2024-04-09,5209.91,5373.0,5241.16946,131.83053999999993
2024-04-08,5202.39,5367.25,5234.0319336986295,133.21806630137053
2024-04-05,5204.34,5366.0,5237.277055890411,128.72294410958875
2024-04-04,5147.21,5307.25,5180.208551780823,127.04144821917725
2024-04-03,5211.49,5378.75,5245.328989863014,133.4210101369863
2024-04-02,5205.81,5373.25,5240.0399835616445,133.21001643835552
2024-04-01,5243.77,5409.5,5278.680578356165,130.81942164383508
2024-03-28,5254.35,5421.75,5291.05847260274,130.69152739725996
2024-03-27,5248.49,5419.5,5285.5889156164385,133.9110843835615
2024-03-26,5203.58,5376.75,5240.78916109589,135.96083890410955
2024-03-25,5218.19,5389.75,5255.932524931507,133.81747506849297
2024-03-22,5234.18,5404.0,5273.328798356165,130.67120164383505
2024-03-21,5241.53,5414.75,5281.164583013699,133.58541698630142
2024-03-20,5224.62,5397.5,5264.556136438356,132.94386356164432
2024-03-19,5178.51,5353.25,5218.519310136987,134.73068986301314
2024-03-18,5149.42,5326.25,5189.6278,136.6221999999998
2024-03-15,5117.09,5292.0,5117.09,174.90999999999985
2024-03-14,5150.48,5326.5,5150.903327123287,175.59667287671255
